2011-06-26 11:27:41.867801,KA03JI908,Bike,Entry
2011-06-26 11:27:42.863209,KA03JI909,Car,Entry
2011-06-26 19:28:43.165316,KA03JI908,Bike,Exit
2011-06-26 20:30:42.863209,KA03JI909,Car,Exit
2011-06-27 08:27:41.867801,KA03JI908,Bike,Entry
2011-06-27 09:27:42.863209,KA03JI909,Car,Entry
2011-06-27 10:28:43.165316,KA03JI908,Bike,Exit
2011-06-27 12:30:42.863209,KA03JI909,Car,Exit
2011-06-29 08:27:41.867801,KA03JI908,Bike,Entry
2011-06-29 23:27:42.863209,KA03JI909,Car,Entry
2011-06-29 12:28:43.165316,KA03JI908,Bike,Exit
2011-06-30 10:30:42.863209,KA03JI909,Car,Exit
